"deltaAICc","WindowOpen","WindowClose","ModelBeta","Std.Error","ModelBetaQ","ModelBetaC","ModelInt","Function","Furthest","Closest","Statistics","Type","K","ModWeight","sample.size","Reference.day","Reference.month","Randomised"
-71.854320291397,17,17,1.18108606916816,0.133650055559898,NA,NA,164.393598034176,"lin",19.7142857142857,0,"mean","absolute",0,3.94783118468827e-16,5,"18","06","no"
-71.2691077530017,6,6,-1.37066967499404,0.155757672191674,NA,NA,195.851978350606,"lin",19.7142857142857,0,"mean","absolute",0,2.94632930376724e-16,5,"18","06","no"
-71.1115131636961,2,0,-1.90544465358035,0.216774348269188,NA,NA,210.831199186388,"lin",19.7142857142857,0,"mean","absolute",0,2.72307783374017e-16,5,"18","06","no"
-67.2214142684616,6,2,-2.14286960944913,0.250931008421362,NA,NA,209.957890630606,"lin",19.7142857142857,0,"mean","absolute",0,3.8934608566778e-17,5,"18","06","no"
-66.9026603265002,11,5,-3.12594894890951,0.366942418596671,NA,NA,215.988532762653,"lin",19.7142857142857,0,"mean","absolute",0,3.31985620916679e-17,5,"18","06","no"
-66.1214518735032,14,5,-7.9096538654292,0.934081672141447,NA,NA,272.135468340604,"lin",19.7142857142857,0,"mean","absolute",0,2.24637374007609e-17,5,"18","06","no"
-65.2061608658332,12,1,-2.81948215810405,0.335345573538888,NA,NA,214.655558353356,"lin",19.7142857142857,0,"mean","absolute",0,1.4214418462829e-17,5,"18","06","no"
-64.7908852919227,14,4,-6.11116397902183,0.729230759308572,NA,NA,250.387884444504,"lin",19.7142857142857,0,"mean","absolute",0,1.15492332236797e-17,5,"18","06","no"
-64.0749119765305,7,6,-1.12667014865806,0.135207883829775,NA,NA,189.45578527119,"lin",19.7142857142857,0,"mean","absolute",0,8.07386570689675e-18,5,"18","06","no"
-63.914714715499,13,1,-3.10759251782258,0.373408428460707,NA,NA,217.132041795035,"lin",19.7142857142857,0,"mean","absolute",0,7.45238234400323e-18,5,"18","06","no"
-63.897128745175,2,1,-1.28073790442333,0.153915124118499,NA,NA,195.298254404834,"lin",19.7142857142857,0,"mean","absolute",0,7.38714091046247e-18,5,"18","06","no"
-63.6417405570128,13,0,-3.19934592892244,0.385273921125177,NA,NA,220.622129731692,"lin",19.7142857142857,0,"mean","absolute",0,6.50158946281368e-18,5,"18","06","no"
-63.3652130498322,12,0,-2.85934184619451,0.345095283586809,NA,NA,217.10735369324,"lin",19.7142857142857,0,"mean","absolute",0,5.66203249696608e-18,5,"18","06","no"
-62.710819073799,18,18,-0.692757081461673,0.0840527582683626,NA,NA,167.834743987189,"lin",19.7142857142857,0,"mean","absolute",0,4.08199540266793e-18,5,"18","06","no"
-61.4840173766324,8,4,-1.59358075128319,0.195305005663757,NA,NA,195.15774421893,"lin",19.7142857142857,0,"mean","absolute",0,2.21042562958552e-18,5,"18","06","no"
-60.6155113063414,11,11,-0.70842937764154,0.0874534909433211,NA,NA,173.946931477803,"lin",19.7142857142857,0,"mean","absolute",0,1.43179951380845e-18,5,"18","06","no"
-60.466156755102,11,1,-2.28851026878078,0.282864094647328,NA,NA,207.214740371746,"lin",19.7142857142857,0,"mean","absolute",0,1.3287714304116e-18,5,"18","06","no"
-60.4145110175214,5,4,-2.00457124003456,0.247876286395601,NA,NA,202.689692919391,"lin",19.7142857142857,0,"mean","absolute",0,1.29489797725193e-18,5,"18","06","no"
