Tree.no,Optim.call,L,K,doy_ip,r,theta,ML,Best.ML
18,SANN wt,486.5425,490.1123,186.6289,0.0674,4.2327,4.5807,.
19,Starting,115.8231,116.3284,115,0.08,1,NA,NA
19,L-BFGS-B,115.8231,116.3199,115.0008,0,1.0004,-8.4928,.
19,L-BFGS-B wt,115.7215,116.2993,115.0008,0.0011,0.9135,-5.6673,.
19,N-M,115.8233,116.3164,116.2088,8e-04,0.9516,-8.5306,.
19,N-M wt,115.8612,116.0697,107.5258,3.2866,8.078,-13.1637,.
19,SANN,116.0949,115.862,114.9326,-12.2333,-1.1255,-16.632,*
19,SANN wt,115.8586,116.0705,111.8562,3.2627,6.1714,-13.2008,.
20,Starting,749.1646,758.6879,171,0.08,1,NA,NA
20,L-BFGS-B,748.0437,758.5344,168.7566,0.0372,1.7687,51.9812,.
20,L-BFGS-B wt,748.4432,758.535,168.7683,0.0404,1.6495,57.8704,.
20,N-M,748.0368,758.5369,168.7873,0.0371,1.7705,51.9792,*
20,N-M wt,748.3884,758.5733,169.643,0.0394,1.6804,57.232,.
20,SANN,748.0437,758.5344,168.7566,0.0372,1.7687,51.9812,.
20,SANN wt,748.353,758.5529,168.6967,0.0394,1.6494,55.9655,.
