tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
-2.5174672, -1.111111111, 5.012856, 15.7274933333333, 19.26802, -11.558346, -9.03684119253333, -3.888888889, 3.6134416, 6.8349688, -6.6104086665, -4.46523716666667, 2.0749626, 9.7888974, 12.3038996, NA, NA, NA, NA, NA, NA, 2.76634806666667, 14.0018153333333, 7.79440893333333
-1.9198542, -0.857321808133333, 4.927178, 15.7274933333333, 19.26802, -11.558346, -9.03684119253333, -4.352679, 3.6134416, 6.8349688, -6.4471208665, -4.46523716666667, 2.0749626, 9.7888974, 12.3038996, NA, NA, NA, NA, NA, NA, 2.76134106666667, 14.0018153333333, 7.69112063333333
-1.9198542, -0.857321808133333, 5.012856, 15.7274933333333, 19.26802, -10.7298746664, -8.9258198, -4.444444444, 3.59046713333333, 6.8349688, -6.4471208665, -4.450732928, 0.610847499999996, 9.64008293333333, 12.3038996, NA, NA, NA, NA, NA, NA, 2.77410566666667, 14.0018153333333, 7.69112063333333
-1.9198542, -1.05119574813333, 4.927178, 14.11139, 15.44843, -10.7298746664, -9.01162486666667, -4.390616, 2.95179066666667, 4.1920008, -6.4471208665, -4.6648212, -1.23076659974686e-16, 7.24416383333333, 9.886538, NA, NA, NA, NA, NA, NA, 2.87727653333333, 14.0018153333333, 7.79440893333333
-1.9198542, -1.05119574813333, 4.444511, 11.8649977806667, 14.247052, -11.821794, -10.031576, -4.444444444, 2.62562313333333, 3.133904, -6.4471208665, -4.6648212, -0.0346430000000005, 5.98684589076667, 8.3821547, NA, NA, NA, NA, NA, NA, 3.0072578, 14.0018153333333, 7.79440893333333
-1.3642832, 0.0519058106666666, 5.354846, 12.4731926666667, 13.918328, -11.647474888, -10.031576, -4.221425, 1.98891933333333, 2.8516674, -6.3696442, -4.43127405393333, 0.610847499999998, 5.5151719114, 7.3907611, NA, NA, NA, NA, NA, NA, 3.0240989, 14.0279793333333, 7.81811788333333
-2.8474090224, 0.962962962866666, 6.295978, 13.5065506666667, 14.557294, -11.647474888, -10.031576, -3.315106, 2.62562313333333, 3.3825332, -6.7558566672, -4.28792752593333, 1.3777685, 6.68147936666667, 7.8080107, NA, NA, NA, NA, NA, NA, 3.0240989, 14.4203256666667, 8.03655413333333
-5.7811573336, -1.35001317773333, 6.406288, 13.7804426666667, 15.966504, -12.77777778, -11.3920316293333, -3.296122, 2.8476378, 4.2103048, -9.3467580008, -5.53623740753333, 1.3777685, 7.07739963333333, 8.3821547, NA, NA, NA, NA, NA, NA, 3.24431783333333, 14.3634063333333, 8.03655413333333
-5.7811573336, -3.51635142193333, 4.444444444, 13.7804426666667, 17.660938, -13.885386, -12.785514076, -3.967842, 3.02157086666667, 5.60485519999999, -9.6590258884, -8.2037037047, -0.1942725, 7.72273256666667, 9.1054497, NA, NA, NA, NA, NA, NA, 2.65100773333333, 14.2789407026667, 7.74855503999999
-5.7811573336, -4.539218, 3.888888889, 14.433378, 17.660938, -16.104808, -13.1892313333333, -3.967842, 4.18025626666667, 5.6256038, -9.8468731326, -9.22669711226667, -0.277777777500001, 7.7436855, 10.2343671, NA, NA, NA, NA, NA, NA, 2.44240043333333, 13.8321496666667, 7.30025501666666
