year	num	seg	age	raw	std	res	ars
   1989	  44.	  75.341	  51.818	   0.895	   0.934	   0.937	   0.919
   1990	  44.	  75.341	  52.818	   0.838	   0.856	   0.878	   0.865
   1991	  44.	  75.341	  53.818	   0.866	   0.948	   0.944	   0.922
   1992	  44.	  75.341	  54.818	   1.055	   1.208	   1.215	   1.201
   1993	  44.	  75.341	  55.818	   1.029	   1.147	   1.134	   1.167
   1994	  44.	  75.341	  56.818	   0.908	   1.006	   0.966	   0.995
   1995	  44.	  75.341	  57.818	   0.624	   0.734	   0.712	   0.709
   1996	  44.	  75.341	  58.818	   0.802	   0.949	   0.973	   0.926
   1997	  44.	  75.341	  59.818	   0.823	   0.990	   1.013	   1.002
   1998	  44.	  75.341	  60.818	   0.988	   1.208	   1.184	   1.184
   1999	  44.	  75.341	  61.818	   0.744	   0.952	   0.894	   0.926
   2000	  44.	  75.341	  62.818	   0.842	   1.018	   1.009	   0.998
   2001	  44.	  75.341	  63.818	   0.704	   0.852	   0.851	   0.851
   2002	  44.	  75.341	  64.818	   0.774	   0.976	   1.016	   0.993
   2003	  44.	  75.341	  65.818	   0.577	   0.768	   0.793	   0.791
   2004	  44.	  75.341	  66.818	   0.745	   0.973	   1.014	   0.980
   2005	  44.	  75.341	  67.818	   0.576	   0.761	   0.784	   0.780
   2006	  44.	  75.341	  68.818	   0.587	   0.775	   0.795	   0.757
   2007	  44.	  75.341	  69.818	   0.718	   0.934	   0.963	   0.924
   2008	  44.	  75.341	  70.818	   0.746	   0.947	   0.959	   0.947
   2009	  44.	  75.341	  71.818	   0.982	   1.256	   1.230	   1.220
   2010	  43.	  75.279	  72.674	   0.914	   1.189	   1.122	   1.159
   2011	  43.	  75.279	  73.674	   0.916	   1.232	   1.142	   1.168
   2012	  42.	  75.381	  74.738	   0.617	   0.789	   0.793	   0.822
   2013	  27.	  79.778	  79.778	   0.697	   1.249	   1.208	   1.178
