"","tag","year","L","K","doy_ip","r","theta","a","b"
"733",70536,2011,564.377948612206,569.076452041735,164.237157346551,0.0375316884441095,2.63864314569719,564.5,569.074718954896
"734",70536,2012,567.493503497024,572.321404444952,109.302412471676,0.0249707173435011,0.657339996581625,568.547015015138,572.227682621369
"735",70536,2013,571.788512711785,576.189915375482,177.234169021081,0.0444303584450179,2.54726550897677,572.039393720682,576.135675926815
"736",70536,2014,583.705301020417,587.136865597622,170.058009642156,0.0522393405595818,2.03311969588141,583.899621096257,587.103539370637
"737",70536,2015,586.357778684586,589.455510615946,167.005407510053,0.0410471023560107,3.64063305128018,586.605368508023,589.34915228363
"738",70536,2016,588.054469467766,592.477772587255,125.757473595785,0.0275652043107657,0.772522413218222,589.177172500877,592.380956457495
"739",70536,2017,591.180818776987,595.325821485689,167.366580623298,0.0293243315144857,2.67675582597326,592.504958622545,595.199115490942
"740",70536,2018,593.628694339004,599.415110167763,163.657459009335,0.0198033982703228,1.28871103444491,594.757671549866,599.186585296394
"741",70536,2019,598.610476963739,600.443571748034,169.565997726338,0.0412955695480843,1.55001019191435,598.689857723161,600.328711344106
"742",72357,2011,814.715270678002,824.60902814437,178.618790628078,0.0318260757604084,2.10192975975803,814.9,824.553748208985
"743",72357,2012,823.323918344266,835.822421172577,183.362477903707,0.0250436130787777,2.13407891938212,824.872825601067,835.644426578617
"744",72357,2013,835.039389942001,846.039804592762,172.047442953119,0.0317187758642791,1.64403710619746,836.18603981195,845.932380562553
"745",72357,2014,879.572814424962,893.213292120184,170.100525787624,0.0276809504047357,1.45664462246546,881.2999878,892.961083235826
"746",72357,2015,891.910821166313,904.641557582347,172.624013301549,0.031383144073141,1.77733318517811,893.2973606,904.533530606697
"747",72357,2016,900.337633633332,917.016858695228,195.967447190158,0.019923752024136,2.88699650922475,905.119156557244,916.35462817624
"748",72357,2017,917.888069450142,927.472448243121,210.646275029996,0.0283366742773328,2.2380812126944,918.930870652711,927.2645197
"749",72357,2018,925.505185088931,938.423200351739,175.530432630531,0.0268811500721386,1.50161463731588,926.9419601,938.207362204305
"750",72357,2019,940.41415500669,938.134431876524,212.0431039376,35.3854575940107,-22.6952512364399,942.866115813603,938.092475110476
"751",122136,2011,561.578612288016,564.163442649694,186.39835635148,0.0396837976223181,2.66439133610221,561.8,564.161914286516
"752",122136,2012,565.69559014887,569.496509632834,165.826295188791,0.123805885931726,7.59688664089478,565.695967645941,569.49650963238
"753",122136,2013,569.362096879343,575.208933490483,164.395311639018,0.0772634046148774,2.37658467730029,569.420365933093,575.208874112114
"754",122136,2014,587.292244900747,593.97303740608,160.879204432441,0.043413062774592,1.50250133672223,587.7000122,593.958888116252
"755",122136,2015,593.35074236794,600.946525446318,175.165514724797,0.0371058983066334,1.5103660329999,593.734563235061,600.8896968
"756",122136,2016,599.537144755317,608.309070303953,167.143464203414,0.0193079980615441,1.00030194437974,601.309787794134,607.83172416229
"757",122136,2018,614.961261626681,619.563063772818,191.012788409219,0.0372595641073242,1.20714599935162,615.385347162819,619.376974276277
"758",122136,2019,618.279604150327,626.494504932286,181.168997011117,0.0382113415044517,2.84988957069885,618.9532478,626.473577340108
"759",60581,2013,684.778231173364,689.444467325074,202.839986870502,0.0827358609824227,4.12071676362789,685.1,689.428304689873
"760",60581,2014,684.858759648029,689.627225084883,186.106907403648,0.0763670858367618,2.26634731933086,684.879294034274,689.618615027144
"761",60581,2015,689.466457865725,694.843784555894,178.521438323288,0.0641157774372026,1.74718130109929,689.588777709219,694.73634255001
"762",60581,2016,694.216045165083,698.571690123185,196.562171666004,0.0559848565836087,2.92728331712917,694.261326440445,698.551684516784
"763",60581,2017,696.96113680754,701.767921177119,189.840512727081,0.0334557377528868,3.16179829944472,697.777431508428,701.74846809013
"764",60581,2018,702.195359657269,705.753365353382,164.989214386176,0.0606320646652497,1.24420554937874,702.210128695637,705.752980624864
"765",60581,2019,705.5330413054,707.750949848158,194.19506822332,0.0779728942495309,4.78761844469752,705.540608232367,707.707578875627
"766",40563,2013,364.300469493388,369.970583304846,217.293458565167,0.0492181251723189,3.20852447199393,365.007088212541,369.896960625575
"767",40563,2014,369.943434290302,376.108623136249,189.361453155554,0.0470671007380883,1.18504483138489,370.104519378977,376.0638745
"768",40563,2015,375.969702054392,380.870741213543,181.976248957856,0.0509969983398694,1.63549287044458,376.0830795,380.865379279917
"769",40563,2016,380.73073568042,387.157771134153,200.946261617147,0.0470676179975266,1.80485644584432,380.9208817,387.141211469033
"770",40563,2017,386.709581266367,392.691431669911,196.37734512321,0.0419608675739829,2.78801550626596,387.1302315,392.679468420531
"771",40563,2018,392.515548696257,399.112703627349,170.474919745379,0.0449810825544971,0.783456595033363,392.744395311734,399.098259466928
"772",40563,2019,399.779470999559,406.335868165511,189.426994278865,0.0606625406726745,1.36900375497336,399.875921060722,406.332680266698
"773",40564,2013,57.7725643357549,58.5631071493486,224.623586119359,0.0780155320093735,8.66922926309327,57.8,58.5526971311838
"774",40564,2014,57.7576293545312,59.9800879718883,222.1221359888,0.0631428133072213,13.9692647258704,57.8083133876844,59.9789243253319
"775",40564,2015,60.04453266276,62.4935321624449,169.354603060143,0.0595002541611168,0.945254031844526,60.10737362,62.492769554237
"776",40564,2016,62.6540484020553,64.0016644907467,162.860043362851,0.111538435074341,1.13282402016141,62.6549288609233,63.9830808242241
"777",40564,2017,57.7638292748692,58.5299918016873,198.538596926565,0.0722622210647942,3.81856196236906,57.798509217317,58.5162593453214
"778",40564,2018,58.5979532269302,60.3527698676567,203.067935807062,0.0488749996300023,2.87341336966055,58.6561787818339,60.3497989527227
"779",40564,2019,60.4010223933859,62.4142211840554,142.846476236638,0.0309911775615734,0.25731594176459,60.5938435140194,62.3358434848161
"780",122427,2011,810.139373907293,814.40996989177,168.870187401607,0.0522367639021416,2.59643088654939,810.2,814.409388037032
"781",122427,2012,814.546465303564,819.156877818533,176.812894764029,0.0327981877632908,3.03103140466576,814.76178793976,819.14812114296
"782",122427,2013,818.711607646971,824.206097548359,180.267164075013,0.038584504274428,2.44739688094654,819.222053429169,824.185693069993
"783",122427,2014,831.853169262837,838.012448499347,171.420717998521,0.0243211570445748,1.77554664736022,832.908302742938,837.864032607564
"784",122427,2015,836.833478867483,841.315094207415,166.931971670107,0.0290690382945466,2.92937472314037,837.83250021318,841.288401188506
"785",122427,2016,838.269560653956,846.749607143005,146.567557503372,0.017563039466044,1.50708535737553,841.574,846.467230434242
"786",122427,2017,840.989285705509,849.250781482609,182.492476550186,0.0294358094891021,18.0988724328171,846.515197431006,849.242335298335
"787",122427,2018,851.755431518101,853.046049552824,193.090472228407,38.0177382225239,21.4970631545484,851.8366220811,853.046049552824
"788",122427,2019,852.249360548885,855.926773085172,167.427122317027,0.0421756920468352,3.81717821381187,852.6708466,855.82436032588
