cur_sp,variable,p-value,est,lat,lon
"Arnot_Forest,_NY_QURU",may_aug,3.57E-05,-0.05300944,42.27161667,-76.62676667
"Bear_Island,_MD_CAGL",apr,0.926278454,0.000854907,38.98456667,-77.24231667
"Bear_Island,_MD_CAGL",apr_jun_apr,0.022785735,0.05119973,38.98456667,-77.24231667
"Bear_Island,_MD_CAGL",apr_jun,0.014485952,-0.001591345,38.98456667,-77.24231667
"Bear_Island,_MD_CAGL",jun,0.010962644,-0.031931847,38.98456667,-77.24231667
"Bear_Island,_MD_CAGL",apr_jun_jul_apr,0.001274222,0.092498639,38.98456667,-77.24231667
"Bear_Island,_MD_CAGL",apr_jun_jul,0.000796272,-0.002890919,38.98456667,-77.24231667
"Bear_Island,_MD_CAGL",jun_jul,0.000613109,-0.056525402,38.98456667,-77.24231667
"Bear_Island,_MD_CAGL",apr_summer_apr,5.59E-05,0.119955993,38.98456667,-77.24231667
"Bear_Island,_MD_CAGL",apr_summer,2.95E-05,-0.004044469,38.98456667,-77.24231667
"Bear_Island,_MD_CAGL",may_aug,1.76E-05,-0.079015041,38.98456667,-77.24231667
Bent_Creek_QUST,apr,0.637461524,-0.003160588,35.5,-82.6
Bent_Creek_QUST,apr_jun_apr,0.02570475,0.029110911,35.5,-82.6
Bent_Creek_QUST,apr_jun,0.004599229,-0.001202596,35.5,-82.6
Bent_Creek_QUST,jun,0.004824722,-0.022245694,35.5,-82.6
Bent_Creek_QUST,apr_jun_jul_apr,0.024473329,0.036240779,35.5,-82.6
Bent_Creek_QUST,apr_jun_jul,0.007716266,-0.001470863,35.5,-82.6
Bent_Creek_QUST,jun_jul,0.009396534,-0.027014332,35.5,-82.6
Bent_Creek_QUST,apr_summer_apr,0.038424953,0.038262483,35.5,-82.6
Bent_Creek_QUST,apr_summer,0.016814334,-0.001652144,35.5,-82.6
Bent_Creek_QUST,may_aug,0.021272556,-0.029403725,35.5,-82.6
Big_Canoe_QUAL,apr,0.854867622,0.001235912,34.475663,-84.329251
