"tag","year","L","K","doy_ip","r","theta","a","b","ML_value","tag_year"
122189,2011,62.90519486,63.02501524,198.9626095,0.059585672,4.419266583,62.90997292,63.02205885,-31.7009,"1221892011"
122189,2013,63.28841891,63.54232171,206.7038282,0.039085169,6.452165288,63.30557487,63.54137604,-21.9808,"1221892013"
122189,2014,66.4498454,66.79689892,198.2498386,0.026765817,4.035226404,66.50999756,66.79134307,-19.3025,"1221892014"
122189,2018,67.59129807,67.87495919,175.2865496,0.046584931,2.269840179,67.60219961,67.87474512,-19.2369,"1221892018"
122189,2019,67.83196372,68.11560949,183.7679494,0.039410128,5.177833762,67.86446988,68.11244535,-20.4673,"1221892019"
102364,2011,60.95362253,61.29392195,185.115095,0.031237516,3.032249694,61,61.29325217,-31.2814,"1023642011"
102364,2013,61.63248486,61.92709593,207.4652495,0.068115596,78.60533745,61.63587181,61.92682966,-19.7283,"1023642013"
102364,2014,62.98175181,63.40155425,195.723531,0.02765823,3.65798432,63.04988764,63.39523499,-19.1036,"1023642014"
102364,2016,63.71674847,64.19889088,110.3999672,0.02826603,0.332104872,63.80403431,64.18913823,-20.5043,"1023642016"
102364,2018,64.4625381,64.84662468,196.0542905,0.032052144,4.232889655,64.49812318,64.84443021,-19.2234,"1023642018"
102364,2019,64.73451444,65.01744219,188.888389,0.046299582,25.05863551,64.80214601,65.01740075,-20.5729,"1023642019"
172499,2011,101.7423133,102.0436329,176.7269337,0.032863007,1.804013951,101.75,102.0430532,-31.1824,"1724992011"
172499,2013,102.4981247,102.8828531,193.6537986,0.043430257,3.025454336,102.5156758,102.8817063,-21.9149,"1724992013"
172499,2014,103.123144,103.5742243,175.1470024,0.028045068,1.886026161,103.1900024,103.5671264,-19.2826,"1724992014"
172499,2018,104.6880327,105.1112352,175.9261602,0.038119845,1.349100127,104.7064254,105.106884,-19.1032,"1724992018"
62224,2012,102.9358343,103.3343354,197.2890666,0.042375,1.375978887,102.9498457,103.3334545,-22.0111,"622242012"
62224,2013,103.3488572,103.6559398,195.3402613,0.044398545,1.542622209,103.3514235,103.6517201,-22.1147,"622242013"
