"Number","Location","Species","Wood Type","CTW Tmin","CTW Tmax","Latitude","Longitude","Slope April - April:June-July Tmax","P-value April - April:June-July Tmax","Slope June-July - April:June-July Tmax","P-value June-July - April:June-July Tmax"
66,"Meltzer, IN","Quercus macrocarpa","RP",4.647899226,16.80924407,39.505057,-85.669107,0.00263647248706676,0.62770995237866,-0.039755476873891,1.43861769098523e-06
67,"Cedar Knob, WV","Quercus mongolica","RP",2.678151296,17.18823562,38.65,-79.3667,-0.0111012675742524,0.035808836151166,-0.0242448518270346,0.0131935639727844
68,"Geode State Park, IA","Quercus alba","RP",4.531932865,17.26554655,40.82469,-91.391817,-0.00198876631747194,0.695285011580639,-0.0643522705316151,1.66485149980907e-14
69,"Lacey Keosauqua State Park, IA","Carya ovata","RP",4.838655525,17.33277346,40.71661,-91.981867,0.00939526410860533,0.148189168210905,-0.0385397767352139,5.19883815810341e-05
70,"Lacey Keosauqua State Park, IA","Quercus alba","RP",4.838655525,17.33277346,40.71661,-91.981867,-0.00149171613196684,0.774755105227859,-0.0518563648933268,1.61357186054355e-10
71,"Green Ridge, MD","Carya ovata","RP",4.273109308,17.46470626,39.6569,-78.4005333,-0.00366400468049848,0.629749844544329,-0.0325997852381603,0.0124681163361253
72,"Kickapoo, IL","Carya ovata","RP",4.780672357,17.50840365,40.138291,-87.745765,0.000138186103926993,0.983374978598572,-0.057749047815079,9.91877218820583e-09
73,"Kickapoo, IL","Quercus alba","RP",4.780672357,17.50840365,40.138291,-87.745765,-0.0046289640247417,0.470043585664679,-0.067093013467369,2.19400624926803e-11
74,"Otter Creek, PA","Quercus alba","RP",4.139495885,17.62605081,39.8784667,-76.3863667,0.00209081602317627,0.787292686425545,-0.0510756985488664,0.000288607801401005
75,"Otter Creek, PA","Quercus rubra","RP",4.139495885,17.62605081,39.8784667,-76.3863667,0.0079798397766829,0.256652095318478,-0.0451953691901112,0.00040879923421344
76,"Otter Creek, PA","Quercus velutina","RP",4.139495885,17.62605081,39.8784667,-76.3863667,0.00756373719924607,0.325060110119884,-0.049722435464085,0.000357255873116731
77,"Browning Hill, IN","Quercus rubra","RP",5.062184947,18.00672301,39.060237,-86.279252,0.00290944388720894,0.669317992887738,-0.0445169722612817,1.3917745770432e-05
78,"Lily Dicky Nature Preserve, IN","Carya ovata","RP",5.062184947,18.00672301,39.2361,-86.2204,0.00232634840585633,0.75064022982463,0.00905567360006481,0.385498458573253
79,"Lily Dicky Nature Preserve, IN","Quercus alba","RP",5.062184947,18.00672301,39.2361,-86.2204,-0.00158827801897052,0.82995273753721,-0.0687569527515611,1.93353965145611e-09
80,"Lily Dicky Nature Preserve, IN","Quercus mongolica","RP",5.062184947,18.00672301,39.2361,-86.2204,-0.00165341100053302,0.804792052088197,-0.0449247443575515,6.72906689155226e-06
81,"Lily Dicky Nature Preserve, IN","Quercus velutina","RP",5.062184947,18.00672301,39.2361,-86.2204,0.00091743356691604,0.882302021997467,-0.0477840807510632,3.40159307868666e-07
82,"MMSF Flux Site, IN","Carya ovata","RP",5.062184947,18.00672301,39.3232,-86.4131,0.00647526209942166,0.34772909808592,-0.0482596256979284,2.53462493736194e-06
83,"MMSF Flux Site, IN","Quercus alba","RP",5.062184947,18.00672301,39.3232,-86.4131,0.00902307225038569,0.26488165986006,-0.0455277279714139,9.89718738222709e-05
84,"Lincoln's New Salem, IL","Carya ovata","RP",5.921848837,18.0697483,39.982858,-89.852411,0.00336988422436773,0.525198266924059,-0.0456189582339173,1.28790524319746e-08
85,"Lincoln's New Salem, IL","Quercus alba","RP",5.921848837,18.0697483,39.982858,-89.852411,-0.00433352703820033,0.468643682530892,-0.0657159985167108,2.51498608348518e-12
86,"Riddle, OH","Quercus alba","RP",4.152941237,18.12605082,39.349399,-82.072414,-0.0119516032130032,0.0522326786667955,-0.0281067385780274,0.0080330153820821
87,"Riddle, OH","Quercus mongolica","RP",4.152941237,18.12605082,39.349399,-82.072414,-0.0146674159587998,0.0190774607039162,-0.0440327508540038,5.86838397477637e-05
88,"MurphyTract, WV","Quercus alba","RP",3.42857149,18.15546254,39.262113,-80.997378,-0.00989980034288889,0.154206934035719,-0.0434971681390733,0.00134772125926944
89,"Hoot Woods Site Easement, IN","Carya ovata","RP",5.340336215,18.311765,39.25,-86.89,-5.68298385489844e-05,0.99418415727285,-0.0564291075444777,1.61195174628157e-06
90,"Hoot Woods Site Easement, IN","Fraxinus americana","RP",5.340336215,18.311765,39.25,-86.89,-0.00872120818657171,0.250538262457295,-0.0535265910118671,2.62239274953347e-06
91,"Hoot Woods Site Easement, IN","Quercus rubra","RP",5.340336215,18.311765,39.25,-86.89,0.00871212908216647,0.140813364629263,-0.038351947971895,1.30587941749978e-05
92,"Bent Creek, NC","Quercus stellata","RP",4.328571487,18.50252136,35.5,-82.6,-0.0030453627056317,0.639631752377382,-0.026981950066001,0.00978710910635519
93,"Potomac River, Dranesville, VA","Quercus mongolica","RP",5.266386641,18.5344542,39.0581167,-77.3299167,-0.00106529322486974,0.855114508995612,-0.0304332542396348,0.00460200491681546
94,"Fox Ridge, IL","Carya ovata","RP",6.356302629,18.64117681,39.395555,-88.161265,0.00546563710739409,0.400910870267262,-0.0340079779578874,0.000280526292564777
95,"Fox Ridge, IL","Quercus alba","RP",6.356302629,18.64117681,39.395555,-88.161265,-0.00640610577250141,0.296316507967413,-0.0616644860049636,6.56084108816501e-11
96,"Lil Scaly Mountain, NC","Quercus alba","RP",4.494958052,18.71680708,35.031278,-83.257678,-0.00361417341384294,0.602110668939491,-0.0162194049775511,0.126423289496148
97,"MOz Flux Site, MO","Carya ovata","RP",6.889075754,19.09747942,38.7441,-92.2,-0.00190544720021949,0.773249265536668,-0.061016082894867,1.5384667991084e-10
98,"MOz Flux Site, MO","Quercus alba","RP",6.889075754,19.09747942,38.7441,-92.2,0.00908126029421785,0.196039187078231,-0.0803431425639143,7.31688674296251e-14
99,"Donaldson Woods Nature Preserve, IN","Carya ovata","RP",5.52100849,19.11092478,38.73,-86.42,0.00957074626968734,0.216207930384752,-0.0551815135079921,1.74949181005488e-06
100,"Donaldson Woods Nature Preserve, IN","Quercus alba","RP",5.52100849,19.11092478,38.73,-86.42,-0.00308840867494127,0.633002659375107,-0.0551561217787184,2.2949167416292e-08
101,"Donaldson Woods Nature Preserve, IN","Quercus rubra","RP",5.52100849,19.11092478,38.73,-86.42,0.00339844279338551,0.541077831855185,-0.0431608232312327,2.66161207459068e-07
102,"Donaldson Woods Nature Preserve, IN","Quercus velutina","RP",5.52100849,19.11092478,38.73,-86.42,-0.00676477809936533,0.231111557619644,-0.0468954760330611,4.45898565559906e-08
103,"Pionner Mothers Research Natural Area, IN","Carya ovata","RP",5.52100849,19.11092478,38.54,-86.45,0.00181554180624801,0.824450438841583,-0.0588161239541658,1.83452572358748e-06
104,"Pionner Mothers Research Natural Area, IN","Quercus alba","RP",5.52100849,19.11092478,38.54,-86.45,-0.00640832544153613,0.301671731908402,-0.059610898568443,1.02411277218565e-09
105,"Pionner Mothers Research Natural Area, IN","Quercus rubra","RP",5.52100849,19.11092478,38.54,-86.45,0.0116370590566838,0.040724372481148,-0.0583163299362802,5.86124055286554e-11
106,"Babler, MO","Carya ovata","RP",7.336134542,19.21932809,38.620428,-90.694719,0.00429060162171971,0.554277538919592,-0.0487856812228713,2.72567671682001e-06
107,"Babler, MO","Quercus alba","RP",7.336134542,19.21932809,38.620428,-90.694719,0.00416616246018519,0.440992046960448,-0.0683700943819801,1.34261681937527e-15
108,"Beall Woods, IL","Fraxinus americana","RP",7.317647175,19.22352972,38.349771,-87.828127,-0.00918833370010666,0.147302707135016,-0.0473235872056821,9.8955455493654e-07
109,"Beall Woods, IL","Quercus alba","RP",7.317647175,19.22352972,38.349771,-87.828127,0.00135303457564534,0.837079805076615,-0.0507657766841293,3.74474564362598e-07
110,"Saunders, IN","Carya ovata","RP",7.317647175,19.22352972,38.37071,-87.717271,-0.00328599489873569,0.668727594973431,-0.0506331590482847,1.06203409870606e-05
111,"Saunders, IN","Quercus pagoda","RP",7.317647175,19.22352972,38.37071,-87.717271,0.010945471596464,0.124429317505713,-0.0338076572186263,0.000770286447936921
112,"Joyce Kilmer, NC","Quercus rubra","RP",5.268907665,19.39916002,35.358468,-83.930323,0.010937208554373,0.154923461986638,0.00556082284600816,0.619956656880951
113,"Joyce Kilmer, NC","Quercus rubra","RP",5.304201752,19.6159668,35.59803,-83.422387,0.0105856053284819,0.100048092061889,-0.00264605523209663,0.787057235725497
114,"Greenbriar, TN","Quercus mongolica","RP",5.304201752,19.6159668,35.706691,-83.33878,0.0134022380970355,0.0469124215648549,-0.00994327763228378,0.332279963384847
115,"Blanton Forest, KY","Quercus alba","RP",5.65630263,19.76722731,36.875187,-83.360369,-0.00347699527510311,0.524645862365708,-0.0294161886368562,0.00281732396526912
116,"Blanton Forest, KY","Quercus mongolica","RP",5.65630263,19.76722731,36.875187,-83.360369,-0.000750271576349246,0.889377251960376,-0.0177411392383929,0.0613614013900971
117,"Hemmer, IN","Carya ovata","RP",7.348739628,19.79916011,38.229087,-87.366519,0.00736965795853503,0.350651026476646,-0.0584105224867191,6.21830283755751e-07
118,"Hemmer, IN","Quercus alba","RP",7.348739628,19.79916011,38.229087,-87.366519,-0.00149506110014156,0.83931289938456,-0.072937846649049,1.48566241462672e-10
119,"Bear Island, MD","Carya glabra","RP",7.004201799,19.79916015,38.9845667,-77.2423167,0.00369213378823766,0.67436665887049,-0.0571451857418551,0.000596813765537785
120,"Smithsonian Conservation Biology Institute, VA","Carya cordiformis","RP",5.006896621,19.8094831,38.8935,-78.1454,0.00288686256040501,0.652506812926487,-0.0362881917857151,0.000866764713054342
121,"Smithsonian Conservation Biology Institute, VA","Carya glabra","RP",5.006896621,19.8094831,38.8935,-78.1454,0.00773703255768598,0.175611503902197,-0.0136435246802284,0.15006931679416
122,"Smithsonian Conservation Biology Institute, VA","Carya ovalis","RP",5.006896621,19.8094831,38.8935,-78.1454,0.0111386957312565,0.0648623166932698,-0.0164806782973254,0.0991392363819185
123,"Smithsonian Conservation Biology Institute, VA","Carya tomentosa","RP",5.006896621,19.8094831,38.8935,-78.1454,0.00648848272988097,0.487194353281678,-0.0212151190028343,0.172093887744794
124,"Smithsonian Conservation Biology Institute, VA","Fraxinus americana","RP",5.006896621,19.8094831,38.8935,-78.1454,-0.00432535268047507,0.402273582314047,-0.0172774323006788,0.045238954428372
125,"Smithsonian Conservation Biology Institute, VA","Fraxinus nigra","RP",5.006896621,19.8094831,38.8935,-78.1454,-0.0137671813243609,0.0825709456619122,0.00651873544600373,0.61801362051145
126,"Smithsonian Conservation Biology Institute, VA","Quercus alba","RP",5.006896621,19.8094831,38.8935,-78.1454,0.0090857523763748,0.142647474169637,-0.0216451581983803,0.0361455486972117
127,"Smithsonian Conservation Biology Institute, VA","Quercus montana","RP",5.006896621,19.8094831,38.8935,-78.1454,0.000800025665552946,0.911230192870774,-0.00810218319790672,0.496445517464937
128,"Smithsonian Conservation Biology Institute, VA","Quercus rubra","RP",5.006896621,19.8094831,38.8935,-78.1454,0.00595412837658281,0.25661437306792,-0.0188821173844794,0.0313175192428573
129,"Smithsonian Conservation Biology Institute, VA","Quercus velutina","RP",5.006896621,19.8094831,38.8935,-78.1454,0.00750696549441184,0.258687831141012,-0.0277074162946418,0.0129106076682878
130,"Blue Ridge Parkway, VA","Quercus mongolica","RP",5.067226971,19.85546265,37.5364333,-79.4948833,-0.00556015636940297,0.189200727623158,-0.0117193389131108,0.13096876921144
131,"Fiddler's Green, VA","Carya ovata","RP",5.067226971,19.85546265,37.7707167,-79.2416,0.0184183087390469,0.0387292829456275,-0.0470429490919719,0.00427916430829547
132,"Fiddler's Green, VA","Quercus rubra","RP",5.067226971,19.85546265,37.7694333,-79.2415167,0.00656383767145884,0.341649223715493,-0.0425596277608311,0.00101821321069156
133,"Irish Creek, VA","Quercus alba","RP",5.067226971,19.85546265,37.6754667,-79.2880333,0.00218123015166565,0.763994659434836,-0.0295930058427085,0.0278444631953192
134,"Irish Creek, VA","Quercus mongolica","RP",5.067226971,19.85546265,37.6754667,-79.2880333,0.00950627874153874,0.332138824863777,0.016066294578039,0.36195930248585
135,"Mt Pleasant, VA","Carya glabra","RP",5.067226971,19.85546265,37.73505,-79.2239667,0.0209355972077806,0.518212012073862,0.00600795822363998,0.917801662636119
136,"Mt Pleasant, VA","Quercus velutina","RP",5.067226971,19.85546265,37.73505,-79.2239667,-0.00603554117755908,0.346434733104729,-0.0246204286949191,0.037457991720989
137,"Feryne Cliffe Nature Preserve, IL","Quercus alba","RP",7.633613602,20.57731133,37.5294,-88.9828,-0.00277426733910803,0.631441020700423,-0.0618069877421036,7.9840114559725e-12
138,"Giant City State Park, IL","Quercus alba","RP",7.57899172,20.59663911,37.6,-89.2,0.00096259884918784,0.873418377231367,-0.059945722051253,5.27611178943363e-11
139,"Chinquapin Ridge, TN","Quercus alba","RP",6.678991698,20.98571467,35.689201,-83.61108,0.0011909821443977,0.844398869683633,-0.0285047984713276,0.00354160780439954
140,"Big Canoe, GA","Quercus alba","RP",8.691596756,21.98067258,34.475663,-84.329251,0.000643641427187476,0.921054863699903,-0.0267011410694668,0.00213574377139647
141,"Three Ponds, KY","Carya tomentosa","RP",9.179832109,22.26470633,36.670247,-89.127605,-0.00177290752073746,0.836797361955447,-0.0435758815567046,0.000351729035986756
142,"Sipsey Wilderness, AL","Carya glabra","RP",9.513445549,22.91596674,34.357419,-87.427427,0.00531579956750263,0.517405138924611,-0.0426970454047738,0.000162466908410914
143,"UMB MI Flux Site, MI","Acer rubrum","DP",-1.488235324,10.05546234,45.5598,-84.7138,0.0042690145245955,0.665888984731568,-0.0425720000910178,0.0122104343492186
144,"UMB MI Flux Site, MI","Populus grandidentata","DP",-1.488235324,10.05546234,45.5598,-84.7138,-0.00888995628710058,0.389648579220117,0.0041994062145264,0.810315846354653
145,"Goose Egg Ridge, NY","Fagus grandifolia","DP",-0.589915974,12.47479012,43.069875,-73.286652,0.00458442237148366,0.511899658110278,-0.0393736380984055,0.00415093373560956
146,"Lincoln coln Mountain Sta.Forest, NY","Nyssa sylvatica","DP",0.289915971,13.01764731,43.1746667,-73.8168333,0.00982900290225932,0.0940848263561325,-0.00238973055709117,0.82924624398392
147,"Prospect Mountain ADKs, NY","Betula lenta","DP",0.289915971,13.01764731,43.4175,-73.729,-0.00255347712919974,0.734918866059239,-0.0382677982628261,0.00878020430102982
148,"Harvard Forest, MA","Acer rubrum","DP",0.596638667,14.38823551,42.5388,-72.1755,-0.0171846136768817,0.0413122748773987,-0.042535452211683,0.00325291587066988
149,"Harvard Forest, MA","Betula alleghaniensis","DP",0.596638667,14.38823551,42.5388,-72.1755,-0.0130606873661042,0.197592563721656,-0.0327460904590195,0.072543682708558
150,"Harvard Forest LyfordPlots, MA","Acer rubrum","DP",0.596638667,14.38823551,42.53,-72.18,-0.00707019682507414,0.291629787487683,-0.0172465335956709,0.130953103564484
151,"NorthRoundPondPlot1, NH","Acer saccharum","DP",0.596638667,14.38823551,42.84514,-72.4473,0.00639245156897928,0.451493261186281,-0.0101202704315819,0.482950799757626
152,"NorthRoundPondPlot1, NH","Fagus grandifolia","DP",0.596638667,14.38823551,42.84514,-72.4473,0.00119633162066883,0.837040916113357,0.00177378953294038,0.857519579029626
153,"NorthRoundPondPlot3, NH","Acer rubrum","DP",0.596638667,14.38823551,42.84417,-72.44976,0.00538512360408757,0.485139475634502,-0.0337379762600461,0.0110875914641322
154,"NorthRoundPondPlot3, NH","Betula lenta","DP",0.596638667,14.38823551,42.84417,-72.44976,0.0142089420215358,0.320041629704011,-0.0724271045852009,0.00850386730001665
155,"Bendix, IN","Acer saccharum","DP",3.583193362,14.64201705,41.664711,-86.508244,0.0117548598958132,0.176271195200628,-0.0651492353455257,1.93204074624287e-06
156,"Warren, MI","Fagus grandifolia","DP",3.583193362,14.64201705,41.827776,-86.623331,0.0105803731143641,0.12731189619921,-0.0671101440021293,2.65395683572668e-09
157,"Alan Seeger Natural Area, PA","Liriodendron tulipifera","DP",2.962184931,14.68739521,40.69,-77.75,0.0134725527948306,0.123651256605983,-0.0246648502477407,0.0868172560040671
