"Number","Location","Species","Wood Type","CTW Tmin","CTW Tmax","Latitude","Longitude","Slope April Tmax","P-value April Tmax","Slope April - April:June Tmax","P-value April - April:June Tmax","Slope April:June Tmax","P-value April:June Tmax","Slope June Tmax","P-value June Tmax","Slope April - April:June-July Tmax","P-value April - April:June-July Tmax","Slope April:June-July Tmax","P-value April:June-July Tmax","Slope June-July Tmax","P-value June-July Tmax","Slope April - April:May-August Tmax","P-value April - April:May-August Tmax","Slope April:May-August Tmax","P-value April:May-August Tmax","Slope May-August Tmax","P-value May-August Tmax"
38,"Douglas, IN","Quercus alba","RP",2.373109279,14.69411787,41.518301,-84.866101,-0.000445305,0.941891071,0.05199281,0.000372539,-0.001891215,9.6e-05,-0.026969827,0.000118483,0.074071578,5.95e-05,-0.002581064,2.21e-05,-0.037278328,2.34e-05,0.081886514,5.77e-05,-0.003044276,2.57e-05,-0.043404179,3.79e-05
39,"Bronx, Hunter Island, NY","Quercus stellata","RP",5.645378253,14.79075655,40.8754556,-73.7900333,-0.01124525,0.132947667,0.030544711,0.111758679,-0.001463421,0.019489449,-0.022397592,0.010428818,0.050337242,0.046541301,-0.002092029,0.011469388,-0.033441888,0.003779397,0.049720424,0.076847455,-0.002173763,0.025289801,-0.034125547,0.010001635
40,"Montgomery Place, NY","Quercus mongolica","RP",1.978151285,14.80504227,42.0088,-73.91875,-0.002747763,0.810705546,-0.007648401,0.807391928,0.000176076,0.866607427,0.000400787,0.978864335,-0.007117058,0.870569694,0.000151191,0.917399947,0.00035174,0.986766371,-0.045913822,0.338491724,0.001578778,0.353900063,0.023496433,0.341533415
41,"Montgomery Place, NY","Quercus rubra","RP",1.978151285,14.80504227,42.0088,-73.91875,-0.00054641,0.932721959,0.040804609,0.018995473,-0.001487696,0.010810899,-0.021264676,0.011678672,0.056424575,0.020751661,-0.001970394,0.015667023,-0.028785609,0.015101553,0.056166083,0.035646717,-0.002074893,0.029007946,-0.02833039,0.040195139
42,"Rams Horn Swamp, NY","Quercus alba","RP",1.978151285,14.80504227,42.19942,-73.864775,0.003529179,0.647901536,-0.001023571,0.96127168,0.000163776,0.81632912,0.00401729,0.693382974,0.049195791,0.093260846,-0.001582,0.106126115,-0.019541019,0.17099063,0.082413553,0.009333423,-0.002890721,0.010318374,-0.03567,0.030215958
43,"Goll, OH","Carya ovata","RP",2.358823565,15.05798349,41.553988,-84.36205,0.00713486,0.217102239,0.066248101,1.17e-06,-0.002109786,1.99e-06,-0.028392599,2.13e-05,0.08826565,3.49e-07,-0.002781221,7.23e-07,-0.036913471,1.39e-05,0.075004337,0.000143478,-0.002476161,0.000315162,-0.031295761,0.002528666
44,"Goll, OH","Quercus alba","RP",2.358823565,15.05798349,41.553988,-84.36205,-0.003120624,0.629683414,0.070234899,2.18e-06,-0.002620014,9.42e-08,-0.03934172,6.04e-08,0.106716914,9.3e-09,-0.00376727,7.14e-10,-0.057025758,3.05e-10,0.107584213,3.2e-07,-0.004041183,5.15e-08,-0.061828604,1.83e-08
45,"Johnson State Nature Preserve, OH","Carya ovata","RP",3.273949632,15.13697507,40.88,-81.75,0.001548596,0.731912311,0.043535246,0.000105889,-0.001595465,5.22e-05,-0.022786881,0.000117915,0.066995722,1.53e-06,-0.002388792,8.49e-07,-0.034536168,2.67e-06,0.058985568,0.000115385,-0.002232505,9.05e-05,-0.031523175,0.000231349
46,"Johnson State Nature Preserve, OH","Quercus alba","RP",3.273949632,15.13697507,40.88,-81.75,-0.015271547,0.016754761,0.042500463,0.005850515,-0.002194848,6.69e-05,-0.034064533,5.37e-05,0.059620004,0.002435105,-0.002724681,8.13e-05,-0.042985335,5.66e-05,0.060494869,0.004204233,-0.002944949,0.000220267,-0.045315812,0.000209714
47,"Johnson State Nature Preserve, OH","Quercus rubra","RP",3.273949632,15.13697507,40.88,-81.75,-0.002205032,0.674808592,0.014449028,0.284521321,-0.000632843,0.181243349,-0.011732245,0.096770795,0.009288268,0.586985723,-0.0004195,0.480048691,-0.007947968,0.374917015,-0.013050202,0.478226008,0.000421538,0.538351416,0.004850559,0.636017996
48,"Black Rock Blueberry Fields, Black Rock Forest, NY","Quercus rubra","RP",2.657142908,15.21680694,41.383,-74.017,-0.022592893,0.470921231,-0.046483704,0.550843322,0.000853452,0.737396276,0.000196999,0.995791734,-0.097982771,0.352287302,0.002615371,0.453010178,0.021662341,0.671126159,-0.093023628,0.417441108,0.002563738,0.522974732,0.017386449,0.765060674
49,"Black Rock Lucky Streak Red, Black Rock Forest, NY","Quercus rubra","RP",2.657142908,15.21680694,41.383,-74.017,-0.022592893,0.470921231,-0.046483704,0.550843322,0.000853452,0.737396276,0.000196999,0.995791734,-0.097982771,0.352287302,0.002615371,0.453010178,0.021662341,0.671126159,-0.093023628,0.417441108,0.002563738,0.522974732,0.017386449,0.765060674
50,"Schunemunk, NY","Quercus alba","RP",2.657142908,15.21680694,41.37607,-74.115522,-0.015689789,0.023217708,-0.005627921,0.738543325,-0.000360475,0.51411732,-0.008669975,0.295893763,0.029632445,0.1891206,-0.001576796,0.036606462,-0.027675134,0.013847796,0.023759694,0.333419107,-0.001440733,0.096316743,-0.025624857,0.045765498
51,"Uttertown, NJ","Quercus rubra","RP",2.657142908,15.21680694,41.1170667,-74.4169833,0.000485397,0.951763382,0.03762183,0.056715823,-0.001328566,0.040105559,-0.019554575,0.039091062,0.07908403,0.002780275,-0.002725749,0.001886122,-0.040839597,0.001380038,0.063550616,0.028300333,-0.002297406,0.023726253,-0.033727588,0.021602891
52,"Mohonk Preserve, Lenape Lane, NY","Quercus mongolica","RP",2.052941208,15.30000031,41.7638,-74.12465,-0.009759952,0.190616285,0.019428584,0.299289521,-0.001042184,0.091218209,-0.016656958,0.069555766,0.053047693,0.032280244,-0.002187536,0.008385253,-0.035025129,0.004611383,0.055597999,0.040544237,-0.002403635,0.012869864,-0.038473045,0.007518154
53,"Mohonk Preserve, Lenape Lane, NY","Quercus velutina","RP",2.052941208,15.30000031,41.7638,-74.12465,-0.005159716,0.435424004,0.036725601,0.02529106,-0.001495526,0.005826967,-0.02360228,0.003218798,0.074589784,0.000551865,-0.002777607,0.000124882,-0.043421971,5.05e-05,0.06115266,0.011000268,-0.002438735,0.004360951,-0.037394659,0.003197188
54,"Mohonk Preserve, Bonticou Crag, NY","Carya glabra","RP",2.052941208,15.30000031,41.8012,-74.1056833,-0.000202133,0.979272449,0.04511304,0.020541587,-0.00161799,0.011570884,-0.024495128,0.009566145,0.074941028,0.00383871,-0.002617172,0.002471095,-0.039622622,0.001953577,0.084278314,0.002894935,-0.003106893,0.001969939,-0.046474713,0.001755284
55,"Palmaghatt5, NY","Quercus mongolica","RP",2.052941208,15.30000031,41.705475,-74.251715,-0.005580338,0.525356265,0.046691051,0.038690055,-0.001836999,0.012617068,-0.027970534,0.010688506,0.094069407,0.001251505,-0.003395733,0.000377132,-0.053146218,0.000203953,0.091650169,0.005045091,-0.003518946,0.002125984,-0.055313876,0.001203377
56,"Palmaghatt5, NY","Quercus rubra","RP",2.052941208,15.30000031,41.705475,-74.251715,-0.002913438,0.687917603,0.061936389,0.00068918,-0.002279049,0.000133875,-0.034443783,0.000102333,0.096466787,4.77e-05,-0.003386549,1.33e-05,-0.051908365,8.3e-06,0.087606294,0.001095765,-0.003276071,0.00049366,-0.049757865,0.000389052
57,"Oppenheim, IN","Carya ovata","RP",3.526890805,15.4151263,41.339479,-85.763455,0.003858005,0.545865452,0.056578592,0.000193581,-0.001882016,0.000144396,-0.027162798,0.000326332,0.069247454,0.000309055,-0.002236915,0.000315816,-0.032497194,0.000625502,0.060273698,0.004260131,-0.002066717,0.005025582,-0.029538645,0.009566313
58,"Oppenheim, IN","Quercus rubra","RP",3.526890805,15.4151263,41.339479,-85.763455,-0.001688679,0.787994312,0.000581662,0.969933073,-8.1e-05,0.87194979,-0.001217168,0.873388931,0.008449418,0.663325368,-0.000346815,0.580884187,-0.005489472,0.566191692,0.00632018,0.764350321,-0.000293394,0.690619002,-0.002833632,0.803092398
59,"DaveyWoods, OH","Quercus rubra","RP",2.831932815,15.55714315,40.137556,-83.907942,0.005574872,0.471507561,0.067485569,0.000234758,-0.002249135,0.000215876,-0.035131838,0.000165651,0.094987672,2.1e-05,-0.003119233,2.15e-05,-0.050013413,1.08e-05,0.094181294,0.000132125,-0.003307007,0.000156926,-0.052698955,9.48e-05
60,"Starved Rock, IL","Quercus alba","RP",4.015126111,16.15462211,41.307161,-88.993812,-0.008471655,0.156197177,0.058076717,9.92e-06,-0.00227128,5.39e-08,-0.038264153,1.53e-08,0.074855548,5.08e-06,-0.002753498,1.16e-07,-0.046072255,4.38e-08,0.071577739,8.93e-05,-0.00287794,5.38e-06,-0.048838601,2.67e-06
61,"Starved Rock, IL","Quercus rubra","RP",4.015126111,16.15462211,41.307161,-88.993812,-0.007054993,0.276390564,0.068718308,1.3e-06,-0.002586124,9.57e-09,-0.043271298,2.64e-09,0.081273689,5.96e-06,-0.002918769,2.58e-07,-0.048656236,1.04e-07,0.068310182,0.000711183,-0.002709533,9.9e-05,-0.045805061,5.98e-05
62,"Palisades-Kepler State Park, IA","Carya ovata","RP",3.797479049,16.52268943,41.908174,-91.512774,-0.005785402,0.40007363,0.052913693,0.00078104,-0.002002093,5e-05,-0.031443385,0.000127463,0.07336406,0.000102692,-0.002593379,9.72e-06,-0.041847292,1.98e-05,0.058726159,0.004954464,-0.00231575,0.00119369,-0.037770223,0.001824785
63,"Palisades-Kepler State Park, IA","Quercus alba","RP",3.797479049,16.52268943,41.908174,-91.512774,-0.012753401,0.033037078,0.054272328,2.8e-05,-0.002285651,3.21e-08,-0.038924056,2.14e-08,0.067636605,1.87e-05,-0.002634544,1.13e-07,-0.045050017,8.68e-08,0.065543721,0.000166662,-0.002809983,3.04e-06,-0.047851957,3.96e-06
64,"Meltzer, IN","Carya ovata","RP",4.647899226,16.80924407,39.505057,-85.669107,-0.001194169,0.868451838,0.066016,4.22e-05,-0.00228483,5.02e-06,-0.037783089,5.03e-06,0.083193481,1.07e-05,-0.002822345,1.97e-06,-0.047075294,1.93e-06,0.094989147,2.94e-06,-0.003471252,6.05e-07,-0.057421112,7.2e-07
65,"Meltzer, IN","Fraxinus nigra","RP",4.647899226,16.80924407,39.505057,-85.669107,-0.002736348,0.687982653,0.068252458,5.16e-06,-0.002413286,2.37e-07,-0.038682021,6.2e-07,0.070056223,9.96e-05,-0.002434548,1.67e-05,-0.039497501,2.93e-05,0.070746369,0.000307442,-0.002651988,7.65e-05,-0.043542925,9.76e-05
66,"Meltzer, IN","Quercus macrocarpa","RP",4.647899226,16.80924407,39.505057,-85.669107,0.001027928,0.863705587,0.066328428,4.44e-07,-0.00221991,5.31e-08,-0.036303351,7.88e-08,0.073132331,3.07e-06,-0.002411532,9.15e-07,-0.039534131,1.44e-06,0.074367514,1.35e-05,-0.002646823,5.66e-06,-0.043989496,5.83e-06
67,"Cedar Knob, WV","Quercus mongolica","RP",2.678151296,17.18823562,38.65,-79.3667,-0.012674669,0.019076292,0.012950067,0.329318777,-0.00090997,0.037223805,-0.017370663,0.020078043,0.028909676,0.095858131,-0.00145424,0.012789097,-0.026687331,0.007092849,0.031989029,0.073474858,-0.001690289,0.009620512,-0.028455746,0.010333024
68,"Geode State Park, IA","Quercus alba","RP",4.531932865,17.26554655,40.82469,-91.391817,-0.006704902,0.303303829,0.081909868,5.55e-10,-0.002972209,5.89e-13,-0.051542105,2.46e-13,0.108118726,4.07e-12,-0.003721108,1.44e-14,-0.064656586,8.09e-15,0.107283361,6.65e-10,-0.004015658,8.83e-12,-0.07097692,3.53e-12
69,"Lacey Keosauqua State Park, IA","Carya ovata","RP",4.838655525,17.33277346,40.71661,-91.981867,0.006166641,0.369821318,0.064870453,2.89e-05,-0.001943086,2.82e-05,-0.032270827,5.18e-05,0.075542655,3.58e-05,-0.002225911,4.5e-05,-0.036951308,9.61e-05,0.074605775,0.000173589,-0.002396369,0.000247801,-0.040615706,0.000390972
70,"Lacey Keosauqua State Park, IA","Quercus alba","RP",4.838655525,17.33277346,40.71661,-91.981867,-0.005835921,0.343599217,0.068838491,1.16e-07,-0.002471711,5.27e-10,-0.043466934,1.58e-10,0.086888579,1.23e-08,-0.00297504,1.54e-10,-0.052108571,8.88e-11,0.089089649,9.95e-08,-0.00332378,2.89e-09,-0.058765892,1.85e-09
71,"Green Ridge, MD","Carya ovata","RP",4.273109308,17.46470626,39.6569,-78.4005333,-0.00469823,0.546789943,0.036019862,0.06038849,-0.001377585,0.021073951,-0.024795946,0.015183091,0.050437611,0.03380826,-0.001863008,0.014583368,-0.032931986,0.0111907,0.074800432,0.002559607,-0.002917639,0.00081386,-0.049927126,0.000612883
72,"Kickapoo, IL","Carya ovata","RP",4.780672357,17.50840365,40.138291,-87.745765,-0.004549813,0.54918685,0.081868864,1.39e-07,-0.002831895,1.27e-09,-0.049908774,5.83e-10,0.095999718,3.06e-07,-0.003263914,1.22e-08,-0.057726751,7.1e-09,0.090256418,1.34e-05,-0.003330122,1.39e-06,-0.058934959,1.14e-06
73,"Kickapoo, IL","Quercus alba","RP",4.780672357,17.50840365,40.138291,-87.745765,-0.010347032,0.183350754,0.088395692,7.19e-09,-0.003231178,3.55e-12,-0.058584578,2.65e-13,0.106547129,8.62e-09,-0.003785007,3.37e-11,-0.067878164,9.45e-12,0.105165618,2.57e-07,-0.004052156,3.36e-09,-0.072987066,1.5e-09
74,"Otter Creek, PA","Quercus alba","RP",4.139495885,17.62605081,39.8784667,-76.3863667,-0.00359908,0.655979653,0.042768039,0.032153684,-0.00151265,0.011698594,-0.027928198,0.005817524,0.082875354,0.001627407,-0.002806615,0.000606844,-0.050355138,0.000251635,0.102224117,0.000193101,-0.003682494,6.29e-05,-0.06331796,3.72e-05
75,"Otter Creek, PA","Quercus rubra","RP",4.139495885,17.62605081,39.8784667,-76.3863667,0.003100935,0.670998534,0.047424479,0.008748121,-0.00145028,0.007603471,-0.024304875,0.008378593,0.079663396,0.000864084,-0.002489549,0.000799688,-0.04250801,0.000696379,0.078037246,0.00208307,-0.002612717,0.002062337,-0.04328098,0.002304797
